School Level / Category,SNo.,School Code,School Name,Address
School Level: PS,740,S0764,TITRIBOTEY GOVERNMENT PRIMARY SCHOOL,"P.O. Taza, Pin: 737133"
School Level: PS,741,S0696,TOKCHI GOVERNMENT PRIMARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: PS,742,S0538,TOPUNG GOVERNMENT PRIMARY SCHOOL,"P.O. Rimbi, Pin: 737113"
School Level: PS,743,S0293,TOYANG GOVERNMENT PRIMARY SCHOOL,"P.O. Yangthang, Pin: 737111"
School Level: PS,744,S0148,TRIKUTAM GOVERNMENT PRIMARY SCHOOL,"P.O. Nazitam, Pin: 737134"
School Level: PS,745,S0542,TSONG GOVERNMENT PRIMARY SCHOOL,"P.O. Yuksom, Pin: 737113"
School Level: PS,746,S0468,TUMIN BARANG GOVERNMENT PRIMARY SCHOOL,"P.O. Tumin, Pin: 737134"
School Level: PS,747,S0277,UPPER BHALUTHANG GOVERNMENT PRIMARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: PS,748,S0493,UPPER KADAMTAM GOVERNMENT PRIMARY SCHOOL,"P.O. Aho, Pin: 737135"
School Level: PS,749,S0526,UPPER KAMLING GOVERNMENT PRIMARY SCHOOL,"P.O. Reshi, Pin: 737121"
School Level: PS,750,S0346,UPPER KENGBARI GOVERNMENT PRIMARY SCHOOL,"P.O. Hee Gaon, Pin: 737113"
School Level: PS,751,S0189,UPPER KHAMDONG GOVERNMENT PRIMARY SCHOOL,"P.O. Rhenock, Pin: 737133"
School Level: PS,752,S0174,UPPER LINGCHEY GOVERNMENT PRIMARY SCHOOL,"P.O. Singtam, Pin: 737134"
School Level: PS,753,S0373,UPPER MANGNAM GOVERNMENT PRIMARY SCHOOL,"P.O. Karjee, Pin: 737111"
School Level: PS,754,S0054,UPPER MANGSHILA GOVERNMENT PRIMARY SCHOOL,"P.O. Tingchim, Pin: 737116"
School Level: PS,755,S0375,UPPER MARTAM GOVERNMENT PRIMARY SCHOOL,"P.O. Bermiok, Pin: 737113"
School Level: PS,756,S0560,UPPER NEH GOVERNMENT PRIMARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: PS,757,S0131,UPPER PACHAK GOVERNMENT PRIMARY SCHOOL,"P.O. East Pendam, Pin: 737132"
School Level: PS,758,S0358,UPPER PAKKIGAON GOVERNMENT PRIMARY SCHOOL,"P.O. Malbasey, Pin: 737121"
School Level: PS,759,S0643,UPPER RAYONG GOVERNMENT PRIMARY SCHOOL,"P.O. Ravangla, Pin: 737139"
School Level: PS,760,S0570,UPPER SATAM GOVERNMENT PRIMARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: PS,761,S0624,UPPER TANAK GOVERNMENT PRIMARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: PS,762,S0026,VOONG GOVERNMENT PRIMARY SCHOOL (SSA),"P.O. Naga, Pin: 737120"
School Level: PS,763,S0207,YALLI GOVERNMENT PRIMARY SCHOOL,"P.O. Bhusuk, Pin: 737103"
School Level: PS,764,S0288,YANGTEY GOVERNMENT PRIMARY SCHOOL,"P.O. Yangtey, Pin: 737111"
School Level: PS,765,S0138,ZINGLA GOVERNMENT PRIMARY SCHOOL,"P.O. Sang, Pin: 737134"
School Level: PS,766,S0167,ZULUCK GOVERNMENT PRIMARY SCHOOL,"P.O. Phadamchen, Pin: 737131"
